App,Description of the offer,Applicable Credit Card,Applicable Debit Card,Coupon Code/Link
Instamart,15% discount up to Rs. 125 on orders above Rs. 499,PNB EMT RuPay Platinum Credit Card,,PNBCC125
Instamart,15% discount up to Rs. 125 on orders above Rs. 499,The PNB Global Platinum Credit Card,,PNBCC125
Instamart,15% discount up to Rs. 125 on orders above Rs. 499,PNB RuPay Platinum Credit Card,,PNBCC125
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,YES BANK Rio RuPay Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,YES BANK Paisabazaar PaisaSave Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,YES BANK Anq Pi Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes EMI Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes ELITE Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes RESERV Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Private Prime Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,YES Bank Marquee Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Bank BYOC Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Bank Finbooster Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Bank Wellness Plus Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Bank Wellness Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Prosperity Cashback Plus Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Prosperity Cashback Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Prosperity Reward Plus Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Prosperity Reward Credit Card,,YESCCINSTA
Instamart,15% discount up to Rs. 100 on orders above Rs. 499,Yes Prosperity Edge Credit Card,,YESCCINSTA
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak Urbane Gold Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak 811 Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak 811 Dream Different Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak Mojo Platinum Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Indian Oil Kotak Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,PVR INOX Kotak Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak White Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak Zen Signature Credit Card,,KOTAKCCIM
Instamart,12% discount up to Rs. 200 on orders above Rs. 999,Kotak League Platinum Credit Card,,KOTAKCCIM
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Shoppers Stop Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Miles And More World Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Miles And More World Select Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Rewards Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Neo Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Fibe Axis Bank Rupay Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis KWIK Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Insta Easy Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank My Wings Credit Card,,AXISINSTA
Instamart,10% discount up to Rs. 150 on orders above Rs. 999,Axis Bank Titanium Smart Traveller Credit Card,,AXISINSTA
